<http://data.doremus.org/performance/486c84c1-cfce-398b-b162-38868c7b6fe7>;13613.ttl;Top chef: initiation Ã  la cuisine orchestrale;19/03/2014;SimilaritÃ© :0.437
<http://data.doremus.org/performance/7d4d8393-c5a5-39bb-a681-b3f011be5207>;1015033.ttl;Johann Sebastian Bach. Les TempÃ©raments;19/03/2014;
;;;;
<http://data.doremus.org/performance/96f07220-afa6-3594-8cf2-079c5a817d27>;14473.ttl;Tisane dansante;25/01/2015;SimilaritÃ© :0.383
<http://data.doremus.org/performance/7a4869d6-01a6-3288-af89-8e5a90938b5d>;1029290.ttl;Gustavo Dudamel 2;25/01/2015;
;;;;
<http://data.doremus.org/performance/a43398cf-42bb-3ee6-9aa0-7e199aa458b6>;13323.ttl;Quatuor Hagen;07/12/2013;SimilaritÃ© :0.4505
<http://data.doremus.org/performance/b1e18a68-6068-3c04-900f-8829c8feff1a>;1014916.ttl;Jean Cocteau : mon tour du monde;07/12/2013;
;;;;
<http://data.doremus.org/performance/51c81d68-c1b2-3c9f-98c3-1498b88a71cc>;14561.ttl;"Henri Texier \""Mingus Ah Um\"" / Get The Blessing \""The Shape Of Jazz To Come\""";07/09/2014;SimilaritÃ© :0.434
<http://data.doremus.org/performance/4861b687-7eff-3430-84f4-32d6fb05a8fc>;1021884.ttl;"Jazz Ã  la Villette. Robin McKelle & The Flytones \""Stax Soul Session\""";07/09/2014;
;;;;
<http://data.doremus.org/performance/dcfc4bab-7f5c-3c86-94a0-ccb212dbc166>;15540.ttl;Quatuor Hagen;24/01/2016;SimilaritÃ© :0.40750000000000003
<http://data.doremus.org/performance/f2d5153c-ef96-3b92-9a69-5ea8fbd950a8>;1046555.ttl;Biennale de quatuors Ã  cordes. Quatuor Modigliani;24/01/2016;
;;;;
<http://data.doremus.org/performance/cc0e1e56-c3bb-3692-b287-20bf996620d3>;13533.ttl;Bob van Asperen - Olivier Baumont;21/03/2014;SimilaritÃ© :0.449
<http://data.doremus.org/performance/08c478e2-5750-3821-9733-e14efc7ad8cd>;1015038.ttl;Johann Sebastian Bach. Les TempÃ©raments;21/03/2014;
;;;;
<http://data.doremus.org/performance/cc0e1e56-c3bb-3692-b287-20bf996620d3>;13533.ttl;Bob van Asperen - Olivier Baumont;21/03/2014;SimilaritÃ© :0.4575
<http://data.doremus.org/performance/86c3c572-1bba-319a-a0a1-fbfaf64872ba>;1015040.ttl;Johann Sebastian Bach. Les TempÃ©raments, In memoriam Gustav Leonhardt;21/03/2014;
;;;;
<http://data.doremus.org/performance/c822a105-cbaf-3621-90bd-7a68073e9454>;13522.ttl;Kenneth Weiss;16/03/2014;SimilaritÃ© :0.389
<http://data.doremus.org/performance/d9fec198-2b1d-3a21-b468-d4aed2fccdd7>;1015030.ttl;Johann Sebastian Bach. Les TempÃ©raments;16/03/2014;
;;;;
<http://data.doremus.org/performance/c822a105-cbaf-3621-90bd-7a68073e9454>;13522.ttl;Kenneth Weiss;16/03/2014;SimilaritÃ© :0.389
<http://data.doremus.org/performance/937606dc-7dad-3323-b4f8-72b707858258>;1015029.ttl;Johann Sebastian Bach. Les TempÃ©raments;16/03/2014;
;;;;
<http://data.doremus.org/performance/cc91b140-48ad-3785-bfa0-22370d74d741>;16605.ttl;MÃ©caniques CÃ©lestes;15/11/2016;SimilaritÃ© :0.6515
<http://data.doremus.org/performance/bbbf0b60-5c65-3e38-b301-edeb7c413912>;1059032.ttl;MÃ©caniques cÃ©lestes. Ensemble intercontemporain;15/11/2016;
;;;;
<http://data.doremus.org/performance/0b0322cb-7ba3-3cd2-b20d-6ce024614d2a>;13135.ttl;Ensemble intercontemporain - Matthias Pintscher;08/11/2013;SimilaritÃ© :0.446
<http://data.doremus.org/performance/ab518472-3c2e-3cd1-9157-8f0892cb6747>;1010650.ttl;Orchestre Philharmonique de Radio France, Myung-Whun Chung, Nicolas Baldeyrou, Christophe Henry;08/11/2013;
;;;;
<http://data.doremus.org/performance/33549703-50c2-3735-ae88-18277d449314>;14506.ttl;Ã€ Pierre (Le grand soir);21/03/2015;SimilaritÃ© :0.5369999999999999
<http://data.doremus.org/performance/2e2a4b46-e676-3ab8-9ccf-71f704c8053c>;1032040.ttl;Week-end Pierre Boulez. A Pierre (le grand soir);21/03/2015;
;;;;
<http://data.doremus.org/performance/c4d71623-a795-3645-9aad-718d6fedba0f>;14186.ttl;Orchestre Philharmonique de Radio France - Vasily Petrenko - BaÃ¯ba Skride;17/10/2014;SimilaritÃ© :0.4485
<http://data.doremus.org/performance/1d0a435f-0640-3f88-88e2-76c63dd79fa4>;1023309.ttl;Ensemble intercontemporain, Matthias Pintscher;17/10/2014;
;;;;
<http://data.doremus.org/performance/28ecf2c6-e15c-3d0a-84bc-1b68c49e2c0b>;14520.ttl;Festival de JÃ©rusalem;10/02/2015;SimilaritÃ© :0.4005
<http://data.doremus.org/performance/e5244d2c-5767-3bba-9f0c-b622aa473e8a>;1030359.ttl;Tindersticks;10/02/2015;
;;;;
<http://data.doremus.org/performance/33458f45-4431-356c-94b6-d1aa16025bff>;14243.ttl;De la Parra / Galliano;13/06/2015;SimilaritÃ© :0.5075000000000001
